bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-74.0056562492,40.7389609053,-74.004626181,40.7397682791",uuuu,85633793,,f3da04fde25e0e949e27cef9e11e60ed,,fe43b008c92124d9c8ee5dfaa092de85,40.739362,-74.005143,1108910615,uuuu,US,US,1490900130,0,0,85977539,Gansevoort St  & Hudson St,907214383,110/891/061/5/1108910615.geojson,intersection,85688543,mapzen,,,US
"-73.9534429947,40.7857369557,-73.9516542013,40.7873586137",uuuu,85633793,,3ffeb7751b6a0054dc0856aa9fb720be,,4f0463570a18e5b05e7d0f54161d2b5d,40.786547,-73.952549,1108910617,uuuu,US,US,1490900130,0,0,85977539,E 96th St  & Park Ave,907196173,110/891/061/7/1108910617.geojson,intersection,85688543,mapzen,,,US
"-73.9703628976,40.7697289692,-73.9675652958,40.7716547855",uuuu,85633793,,213a57f692d7367f439da11f3170e681,,a95b2134e4fbed9c8f1f1030cf78d493,40.770773,-73.968817,1108910613,uuuu,US,US,1490900130,0,0,85977539,5th Ave  & E 69th St,907214349,110/891/061/3/1108910613.geojson,intersection,85688543,mapzen,,,US
"-73.9912360285,40.7560299101,-73.9883462572,40.7584496928",uuuu,85633793,,45f33a294145eb0554e31558fb0e2bb9,,11132bf331fb9d039189503789db1d37,40.75724,-73.989794,1108910611,uuuu,US,US,1490900130,0,0,85977539,W 42nd St  & 8th Ave,85868039,110/891/061/1/1108910611.geojson,intersection,85688543,mapzen,,,US
"-73.944504572,40.8385028356,-73.9423550424,40.8400420841",uuuu,85633793,,f54e399ced6700d34e16ca6e4ee0bd3f,,5cd527339f30f854ec1cb407ed5dc009,40.839283,-73.94349,1108912727,uuuu,US,US,1490900130,0,0,85977539,Fort Washington Ave  & W 164th St,85854625,110/891/272/7/1108912727.geojson,intersection,85688543,mapzen,,,US
"-74.0011054933,40.7280160981,-73.9997276381,40.7294216164",uuuu,85633793,,52ca1e6910e88c3f03ec85c1f9009bc7,,241aa504d1063ae610fcbfe58437decd,40.728763,-74.000429,1108912723,uuuu,US,US,1490900130,0,0,85977539,Sullivan St  & Bleecker St,420529189,110/891/272/3/1108912723.geojson,intersection,85688543,mapzen,,,US
"-73.9919400659,40.7704132732,-73.9890200005,40.7728595385",uuuu,0,,dc7951831dfae561b1a751c6ccf39f5b,,e6a57ab4eee25dc4d76f89dcfec8c729,40.771651,-73.990502,1108912721,uuuu,US,US,1490900130,0,0,0,W 59th St  & 11th Ave,-1,110/891/272/1/1108912721.geojson,intersection,0,mapzen,,,US
"-73.9979283142,40.7280781239,-73.9965946329,40.7294655184",uuuu,85633793,,4a37d7ab07a3fbed6965d2232111e32f,,08d33ee37782feee43c20f69a18d6f1f,40.728729,-73.997237,1108912729,uuuu,US,US,1490900130,0,0,85977539,W 3rd St  & Wooster St Exd,420529189,110/891/272/9/1108912729.geojson,intersection,85688543,mapzen,,,US
"-73.9861677909,40.7632600108,-73.9837172668,40.7653569903",uuuu,85633793,,59618e921616432334d35e74b7ec7686,,083414511c2fd6a1cb2333f48531bccd,40.764304,-73.984924,1108914355,uuuu,US,US,1490900130,0,0,85977539,W 53rd St  & 8th Ave,85882233,110/891/435/5/1108914355.geojson,intersection,85688543,mapzen,,,US
"-73.9817383377,40.7669657337,-73.9798488203,40.7684655286",uuuu,85633793,,b2ed785b3e8f14326ba78fb5a110e256,,c3250077945d6c75def35a38cad4c3b8,40.767784,-73.980777,1108914357,uuuu,US,US,1490900130,0,0,85977539,Columbus Cir  & W 59 St,85882233,110/891/435/7/1108914357.geojson,intersection,85688543,mapzen,,,US
